,full address,NPI,Site Name,Address,Room/Suite,Town/City,CountyFIPS,County Name,State,Zip Code,Latitude,Longitude,Area code,Phone number,Designated Service,License Number/Facility Operating Certificate,PFI,Medicaid Provider Identification Number,Commercial Provider Indicator,Medicaid Provider Indicator,CHP Indicator,HARP Indicator,Medicaid Advantage Indicator,Partial CAPS Indicator,MAP Indicator,PACE Indicator,FIDA Indicator,FIDAIDD Indicator,HIVSNP Indicator=,SIP-PL Indicator,NYSOH Standard Essential Health Plan (EP) Indicator/Basic Health Program Indicator,NYSOH EP Plus Adult Vision/Dental Indicator/Basic Health Program Adult Indicator,Commercial Non-MCO Medical Indicator 1,Commercial Non-MCO Medical Indicator 2,Commercial Non-MCO Medical Indicator 3,Commercial Non-MCO Medical Indicator 4,Commercial Non-MCO Medical Indicator 5,Commercial Non-MCO Medical Indicator 6,Commercial Non-MCO Medical Indicator 7,Commercial Non-MCO Medical Indicator 8,Service 1,Service 2,Service 3,Service 4,Service 5,Service 6,Service 7,Service 8,Service 9,Service 10,Service 11,Service 12,Service 13,Service 14,Service 15,Service 16,Service 17,Service 18,Service 19,Service 20,Service 21,Service 22,Service 23,Service 24,Service 25,NYSoH Medical Network Indicator 1,NYSoH Medical Network Indicator 2,NYSoH Medical Network Indicator 3,NYSoH Medical Network Indicator 4,NYSoH Medical Network Indicator 5,NYSoH Medical Network Indicator 6,NYSoH Medical Network Indicator 7,NYSoH Medical Network Indicator 8,NYSoH Medical Network Indicator 9,Servicing County 1,Servicing County 2,Servicing County 3,Servicing County 4,Servicing County 5,OASAS Program Reporting Unit Number,OASAS Provider Number,OMH ID,Plan Name,Provider Network Data System Identification Number,Quarter/Year,geometry,type
228,"16814 JAMAICA AVE, JAMAICA, NY 11432",1992116701,AG URGENT CARE PC,16814 JAMAICA AVE,,JAMAICA,36081,Queens,NY,11432,40.706347,-73.792095,917,9334333,823,0,,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Empire Healthchoice Assurance, Inc",100,Quarter 1 2021,POINT (317569.49645784596 59950.14156267033),NPI-2
229,"170 E END AVE, NEW YORK, NY 10128",9999999999,BI EMERGENCY MEDICINE,170 E END AVE,,NEW YORK,36061,New York,NY,10128,40.776083,-73.94417,800,2194200,914,99999999,999999,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Oxford Health Plans (NY), Inc.: Metro",143,Quarter 1 2021,POINT (304713.09410078306 67674.85359653721),na - exempt or not present
231,"170 WILLIAM ST, NEW YORK, NY 10038",1053413989,NEW YORK PRESBYTERIAN HOSPITAL - LOWER MANHATTAN H,170 WILLIAM ST,,NEW YORK,36061,New York,NY,10038,40.710435,-74.005348,212,3125260,11,7002054H,1437,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,200,201,300,302,406,599,640,781,823,899,901,913,951,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,New York Quality Healthcare Corporation,44,Quarter 1 2021,POINT (299548.0668594849 60383.23680727956),NPI-2
232,"1700 HYLAN BLVD, STATEN ISLAND, NY 10305",1033536297,NORTHWELL HEALTH GOHEALTH URGENT CARE,1700 HYLAN BLVD,,STATEN ISLAND,36085,Richmond,NY,10305,40.587135,-74.091249,718,5028425,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Delaware American Life Insurance Company: Cigna Lifesource Transplant,141,Quarter 1 2021,POINT (292275.0200415769 46695.08770559807),NPI-2
233,"1711 RALPH AVE, BROOKLYN, NY 11236",1538575642,TRIBOROUGH MEDICAL URGENT CARE,1711 RALPH AVE,,BROOKLYN,36047,Kings,NY,11236,40.635024,-73.918727,718,6496356,823,,999999,88888888,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,599,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"HealthPlus HP, LLC",128,Quarter 1 2021,POINT (306875.5201934839 52012.20684406168),NPI-2
234,"1725 E 12TH ST STE 301, BROOKLYN, NY 11229",1205868528,SUNY DOWNSTATE MED CENTER,1725 E 12TH ST,STE 301,BROOKLYN,36047,Kings,NY,11229,40.607106,-73.960678,718,3361909,914,7142,,4075554,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (303327.9531617042 48909.54245361153),NPI-2
235,"1733 E 174TH ST, BRONX, NY 10472",1093246274,BRONX URGENT CARE,1733 E 174TH ST,,BRONX,36005,Bronx,NY,10472,40.834865,-73.870345,845,3628400,823,99999999,999999,863483,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Healthfirst Health Plan, Inc. / Healthfirst PHSP, Inc.",52,Quarter 1 2021,POINT (310935.66531352105 74209.1624369343),NPI-2
236,"1737 SEAGIRT BLVD, FAR ROCKAWAY, NY 11691",1750712220,210 MJD PRECISION URGENT CARE,1737 SEAGIRT BLVD,,FAR ROCKAWAY,36081,Queens,NY,11691,40.594899,-73.751462,576,2794400,999,,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Consolidated Health Plans: MagnaCare,169,Quarter 1 2021,POINT (321038.39731602813 47583.142378771656),NPI-2
237,"1740 84TH ST, BROOKLYN, NY 11214",1104112838,KINGSBROOK MEDICAL ASSOCIATES,1740 84TH ST,,BROOKLYN,36047,Kings,NY,11214,40.60927,-74.002405,718,6045900,914,,,3377626,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (299796.4690666097 49149.09467346569),NPI-2
238,"1740 EASTCHESTER RD, BRONX, NY 10461",1003858390,CALVARY HOSPITAL,1740 EASTCHESTER RD,,BRONX,36005,Bronx,NY,10461,40.847378,-73.844563,718,5182000,11,7000011H,1175,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,669,934,901,899,674,669,668,0,300,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Consolidated Health Plans: Cigna,168,Quarter 1 2021,POINT (313107.7672210124 75602.27289378647),NPI-2
239,"175 E 96TH ST, NEW YORK, NY 10128",1003253030,QUICKMED MEDICAL DBA CURE URGENT CARE,175 E 96TH ST,,NEW YORK,36061,New York,NY,10128,40.78557,-73.94984,212,7764320,823,99999999,999999,3809249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (304233.83450707974 68728.08459992577),NPI-2
240,"176 3RD AVE, NEW YORK, NY 10003",1679970891,"NORTH SHORE - LIJ URGENT CARE, P.C.",176 3RD AVE,,NEW YORK,36061,New York,NY,10003,40.734993,-73.986147,212,4200222,823,99999999,999999,4117259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Amida Care, Inc.",11,Quarter 1 2021,POINT (301170.1588531209 63110.4475533919),NPI-2
241,"1762 MCDONALD AVE, BROOKLYN, NY 11230",1326229022,ASJS MEDICAL  PLLC,1762 MCDONALD AVE,,BROOKLYN,36047,Kings,NY,11230,40.610528,-73.973495,718,7585161,823,99999999,999999,3307691,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (302243.09352188447 49289.134639433694),NPI-2
242,"17660 UNION TPKE STE 100, FRESH MEADOWS, NY 11366",1477505220,JAMAICA HOSPITAL/ER DEPT,17660 UNION TPKE,STE 100,FRESH MEADOWS,36081,Queens,NY,11366,40.725698,-73.791302,718,4086977,914,7003001H,,1616320,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (317631.3895262651 62099.18917513555),NPI-2
243,"177 DYCKMAN ST, NEW YORK, NY 10040",1386954055,MEDRITE URGENT CARE,177 DYCKMAN ST,,NEW YORK,36061,New York,NY,10040,40.864083,-73.926139,212,2351633,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Delaware American Life Insurance Company: Cigna,140,Quarter 1 2021,POINT (306227.01208870485 77448.3509770401),NPI-2
244,"177 FORT WASHINGTON AVE, NEW YORK, NY 10032",1699289488,TRUSTEES COLUMBIA - ER,177 FORT WASHINGTON AVE,,NEW YORK,36061,New York,NY,10032,40.841469,-73.942742,212,3054565,914,,,5066633,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (304828.89702281373 74936.0100759798),NPI-2
246,"1775 GRAND CONCOURSE Suite 4C, BRONX, NY 10453",1841607298,ESSEN MEDICAL URGICARE PLLC DBA METRO URGICARE,1775 GRAND CONCOURSE,Suite 4C,BRONX,36005,Bronx,NY,10453,40.846559,-73.909726,718,5613200,823,,,4003843,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Centers Plan for Healthy Living LLC,96,Quarter 1 2021,POINT (307612.7565378352 75503.6050899868),NPI-2
249,"17811 UNION TPKE, FRESH MEADOWS, NY 11366",1386954055,MEDRITE MEDICAL CARE,17811 UNION TPKE,,FRESH MEADOWS,36081,Queens,NY,11366,40.726554,-73.789916,718,4801233,823,99999999,999999,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Oxford Health Plans (NY), Inc.: Metro",143,Quarter 1 2021,POINT (317748.25453268114 62194.52640600692),NPI-2
250,"1797 CONEY ISLAND AVE, BROOKLYN, NY 11230",1114011210,SOUND EMERGENCY PHYSICIANS,1797 CONEY ISLAND AVE,,BROOKLYN,36047,Kings,NY,11230,40.613607,-73.962821,718,6161499,914,,,99999999,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (303146.27659275185 49631.37911590454),NPI-2
252,"1811 AVENUE J, BROOKLYN, NY 11230",1275936932,CENTERS URGENT CARE,1811 AVENUE J,,BROOKLYN,36047,Kings,NY,11230,40.625656,-73.958332,718,5023000,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.: QHP",149,Quarter 1 2021,POINT (303525.5195429627 50969.55724175788),NPI-2
253,"18219 HORACE HARDING EXPY, FRESH MEADOWS, NY 11365",1013960962,NYHMCQ EMERGENCY PRACTICE PLAN,18219 HORACE HARDING EXPY,,FRESH MEADOWS,36081,Queens,NY,11365,40.73986,-73.79193,718,6701651,914,7003010H,5740,99999999,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (317574.59771627834 63671.7269998606),NPI-2
254,"1823 86TH ST, BROOKLYN, NY 11214",1073645180,PM PEDIATRICS,1823 86TH ST,,BROOKLYN,36047,Kings,NY,11214,40.607045,-74.001994,718,2345437,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Delaware American Life Insurance Company: Cigna,140,Quarter 1 2021,POINT (299831.24696097296 48902.01431064352),NPI-2
255,"1825 EASTCHESTER RD, BRONX, NY 10461",1942495130,MONTEFIORE MEDICAL CENTER,1825 EASTCHESTER RD,,BRONX,36005,Bronx,NY,10461,40.850395,-73.844962,718,9042000,11,7000006H,3058,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,899,599,20,200,302,741,160,760,80,250,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,9999999999,9999999999,,Consolidated Health Plans: MagnaCare,169,Quarter 1 2021,POINT (313073.5269815719 75937.25125874588),NPI-2
256,"1826 ARTHUR AVE, BRONX, NY 10457",1023024882,NORTH CENTRAL BRONX HOSPITAL,1826 ARTHUR AVE,,BRONX,36005,Bronx,NY,10457,40.844123,-73.894268,718,9188700,914,31339,,246171,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (308916.65116992703 75234.54809962746),NPI-2
258,"185 MONTAGUE ST FL 4, BROOKLYN, NY 11201",1205868528,SUNY DOWNSTATE MED CENTER,185 MONTAGUE ST,FL 4,BROOKLYN,36047,Kings,NY,11201,40.694213,-73.991626,718,7802334,914,7142,,4075554,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (300707.7821964909 58581.83610548208),NPI-2
259,"186-10 UNION TURNPIKE A5401287, FRESH MEADOWS, NY 11366",1184066698,UNION MEDICAL CARE  PLLC,186-10 UNION TURNPIKE A5401287,,FRESH MEADOWS,36081,Queens,NY,11366,40.727369,-73.802305,718,5750974,823,99999999,999999,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Oxford Health Plans (NY), Inc.: Metro",143,Quarter 1 2021,POINT (316701.4070961987 62282.5927222721),NPI-2
263,"1865 AMSTERDAM AVE Suite A, NEW YORK, NY 10031",1841607298,"ESSEN MEDICAL URGICARE, PLLC D/B/A METRO URGICARE",1865 AMSTERDAM AVE,Suite A,NEW YORK,36061,New York,NY,10031,40.829742,-73.944115,646,8701609,823,,,4003843,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Amida Care, Inc.",11,Quarter 1 2021,POINT (304713.93453099165 73633.65260743938),NPI-2
264,"18730 HILLSIDE AVE, JAMAICA, NY 11432",1689879280,HILLSIDE POLYMEDIC DIAGNOSTIC & TREATMENT CENTER,18730 HILLSIDE AVE,,JAMAICA,36081,Queens,NY,11432,40.71478,-73.774181,718,2641111,321,7003269R,6957,2903579,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200,201,300,301,308,316,516,524,650,652,738,823,851,903,904,905,909,911,915,916,918,925,927,928,929,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,New York Quality Healthcare Corporation,44,Quarter 1 2021,POINT (319080.9440938115 60890.35799060095),NPI-2
265,"1880 PROSPECT PL, BROOKLYN, NY 11233",1326229022,ASJS MEDICAL,1880 PROSPECT PL,,BROOKLYN,36047,Kings,NY,11233,40.672234,-73.914424,732,3872447,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.: QHP",149,Quarter 1 2021,POINT (307235.5022381492 56144.62855943752),NPI-2
266,"18803 JAMAICA AVE, HOLLIS, NY 11423",1477505220,Medisys Hollis Family Care,18803 JAMAICA AVE,,HOLLIS,36081,Queens,NY,11423,40.711045,-73.770708,718,7402060,914,,,1616320,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (319375.4863870466 60476.35736436425),NPI-2
269,"1901 1ST AVE, NEW YORK, NY 10029",1013924372,METROPOLITAN HOSPITA L CENTER,1901 1ST AVE,,NEW YORK,36061,New York,NY,10029,40.78476,-73.943812,212,4237402,823,7002021H,1454,246135,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,6563022,"Healthfirst Health Plan, Inc. / Healthfirst PHSP, Inc.",52,Quarter 1 2021,POINT (304742.6978898561 68638.44459287659),NPI-2
270,"19120 NORTHERN BLVD City Medical of Aubu, FLUSHING, NY 11358",1558876664,"CITY MEDICAL OF UPPER EAST SIDE, PLLC DBA CITYMD U",19120 NORTHERN BLVD,City Medical of Aubu,FLUSHING,36081,Queens,NY,11358,40.757631,-73.790129,718,2248855,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"MetroPlus Health Plan, Inc. (HIV/SNP)",95,Quarter 1 2021,POINT (317721.9893312893 65645.52972700661),NPI-2
272,"193 W 237TH ST City Medical of Rive, BRONX, NY 10463",1801207998,"CITY MEDICAL OF UPPER EAST SIDE, PLLC DBA CITYMD U",193 W 237TH ST,City Medical of Rive,BRONX,36005,Bronx,NY,10463,40.884282,-73.900254,718,3030479,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"MetroPlus Health Plan, Inc. (HIV/SNP)",95,Quarter 1 2021,POINT (308406.75572339544 79693.62999831002),NPI-2
274,"195 MONTAGUE ST FL 2, BROOKLYN, NY 11201",1477507499,BROOKLYN HEIGHTS MEDICAL OFFICE,195 MONTAGUE ST,FL 2,BROOKLYN,36047,Kings,NY,11201,40.69413,-73.991312,347,3900003,823,,,99999999,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (300734.3233034477 58572.62175301982),NPI-2
276,"196 E 237TH ST, BRONX, NY 10470",1730491945,CITY MD,196 E 237TH ST,,BRONX,36005,Bronx,NY,10470,40.898431,-73.871028,718,3030479,823,,,99999999,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (310867.6619358015 81268.1111429446),NPI-2
277,"1975 HYLAN BLVD, STATEN ISLAND, NY 10306",1205105004,BP IMMEDIATE MEDICAL CARE,1975 HYLAN BLVD,,STATEN ISLAND,36085,Richmond,NY,10306,40.581792,-74.098032,646,5582424,823,99999999,999999,88888888,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"HealthPlus HP, LLC",128,Quarter 1 2021,POINT (291700.12034091935 46102.38636583539),NPI-2
278,"1976 2ND AVE, NEW YORK, NY 10029",1154976876,BN MEDICINE PC DBA ZOOM CARE 365,1976 2ND AVE,,NEW YORK,36061,New York,NY,10029,40.787762,-73.944331,646,7945277,823,,,99999999,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Affinity Health Plan, Inc.",6,Quarter 1 2021,POINT (304698.6781829714 68971.78575835358),NPI-2
279,"1977 FLATBUSH AVE, BROOKLYN, NY 11234",1326229022,ASJS MEDICAL  PLLC,1977 FLATBUSH AVE,,BROOKLYN,36047,Kings,NY,11234,40.621638,-73.935595,877,2402852,823,99999999,999999,3307691,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (305449.6192001486 50524.53975334557),NPI-2
280,"1981 MARCUS AVE STE 208, STATEN ISLAND, NY 10301",1013960962,NYHMCQ EMERGENCY PRACTICE PLAN,1981 MARCUS AVE,STE 208,STATEN ISLAND,36085,Richmond,NY,10301,40.633422,-74.090531,718,6701651,914,,,99999999,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (292341.1031316804 51835.04729811642),NPI-2
281,"199 AMSTERDAM AVE, NEW YORK, NY 10023",1033536297,NORTHWELL HEALTH GOHEALTH URGENT CARE,199 AMSTERDAM AVE,,NEW YORK,36061,New York,NY,10023,40.77646,-73.982999,646,8630463,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Cigna Health and Life Insurance Company, Inc: Medical PPO Network",137,Quarter 1 2021,POINT (301435.17738671653 67715.35111263298),NPI-2
282,"199 MOUNT EDEN PKWY, BRONX, NY 10457",1669729117,BRONX LEBANON HSP/EM DEPT,199 MOUNT EDEN PKWY,,BRONX,36005,Bronx,NY,10457,40.843211,-73.90971,718,9927669,914,6057001A,,4099529,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (307614.4891435065 75131.81081843276),NPI-2
283,"1990 MCGRAW AVE First Floo, BRONX, NY 10462",1841607298,ESSEN MEDICAL URGICARE PLLC DBA METRO URGICARE PLL,1990 MCGRAW AVE,First Floo,BRONX,36005,Bronx,NY,10462,40.834829,-73.85844,347,7546023,823,,,4003843,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,New York Quality Healthcare Corporation,44,Quarter 1 2021,POINT (311939.7924462158 74206.72101882038),NPI-2
286,"2 W FORDHAM RD, BRONX, NY 10468",1255742342,CITY MEDICAL OF UPPER EAST SIDE,2 W FORDHAM RD,,BRONX,36005,Bronx,NY,10468,40.862653,-73.901698,718,4893553,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.: QHP",149,Quarter 1 2021,POINT (308287.7489435731 77291.57801083844),NPI-2
